站号,站名,纬度,经度,海拔高度
ZG041,横琴,22.116,113.520,446
ZG042,斗门,22.241,113.245,586
ZG043,高栏,21.900,113.266,390
ZG060,鹤山,22.740,112.980,90
ZG061,开平,22.200,112.650,52
ZG062,恩平,22.270,112.230,89
ZG063,北峰山,22.220,112.943,924
ZG064,下鸡罩山,21.850,112.680,202
ZG080,博罗,23.179,114.258,38
ZG081,龙门,23.780,114.250,84
ZG082,惠东,23.026,114.669,78
ZG083,铁涌,22.723,114.803,531
ZG100,黄圃,22.738,113.341,71
ZG101,坦洲,22.297,113.378,474
ZG120,石排,23.116,113.968,2
ZG121,麻涌,23.082,113.580,1
ZG122,大岭山,22.887,113.769,530
ZG140,佛冈,23.875,113.423,456
ZG141,英德,24.246,113.428,72
ZG143,清新,24.067,112.881,285
ZG160,陀程,22.797,112.557,17
ZG161,潭朗,22.913,112.741,20
ZG162,南海,23.147,113.034,70
ZG180,徐闻,20.243,110.165,4
ZG300,高要,23.009,112.445,350
ZG301,四会,23.305,112.653,607
ZG320,潮阳,23.316,116.575,141
ZG340,茂名博贺,21.453,111.314,8
ZI000,灵璧,33.581,117.514,22
ZI001,淮北,33.893,116.832,81
ZI002,埇桥,33.688,117.073,22
ZI100,蒙城,33.239,116.641,19
ZI101,王家坝,32.432,115.603,31
ZI200,固镇,33.341,117.358,21
ZI350,合肥,31.956,117.057,49
ZI351,肥西,31.608,117.030,26
ZI352,肥东,31.702,117.421,10
ZI401,明光,32.726,118.118,72
ZI550,芜湖,31.383,118.310,6
ZI551,无为,31.124,117.925,7
ZI552,南陵,30.956,118.316,20
ZI600,东至,30.382,116.958,35
ZI700,潜山,30.754,116.441,1259
ZO089,许昌,34.041,113.898,66
ZO111,永城,33.858,116.424,96
ZO186,漯河,33.614,114.058,58
ZO293,新蔡,32.742,115.000,37
ZO898,安阳,36.054,114.139,194
ZO986,新乡,35.305,113.952,73
ZQ020,保康,31.642,111.197,796
ZR501,威宁,26.780,103.924,2328
ZR901,望谟,25.217,106.116,1109
ZS001,攀枝花,26.554,101.795,2129
ZS003,越西,28.736,102.570,2731
ZS401,崇州,30.671,103.699,547
ZS402,新都,30.777,104.235,492
ZS403,府新区,30.433,104.111,494
ZS404,海子山,29.227,102.394,2056
ZS405,双流,30.312,103.997,458
ZS406,简阳,30.487,104.642,453
ZS408,北川,31.878,104.474,1832
ZS409,大邑,30.591,103.318,1050
ZS410,彭州,31.098,103.829,1139
ZS411,邛崃,30.443,103.439,518
ZT001,怒江贡山独龙江,27.799,98.478,4054
ZT005,临沧凤庆,24.636,99.846,2279
ZT007,玉溪红塔区,24.292,102.413,2132
ZT008,红河弥勒,24.434,103.395,1679
ZT009,昭通威信,27.806,104.784,1470
ZT011,绿春,22.997,102.460,2197
ZT100,楚雄打银山,25.159,101.458,2332
ZT101,孟连,22.335,99.495,1750
ZT102,景东,24.321,101.008,2216
ZU104,林周旁多,30.139,91.263,5000
ZV001,旬邑,35.154,108.306,1323
ZV101,洛川,35.766,109.425,1239
ZV524,旬阳,32.819,109.355,670
ZV701,凤县,33.944,106.473,1499
ZV801,高陵,34.471,109.088,393
ZV802,蓝田,34.268,109.380,1065
ZV803,周至,34.156,108.064,495
ZV905,王益,35.083,109.067,978
ZW003,西和,34.011,105.316,1765
ZW004,环县,36.633,107.296,1561
ZW006,渭源,35.221,104.229,2482
ZX301,同仁,35.482,102.062,3121
ZY141,西吉火石寨,36.083,105.688,2278
ZY405,乌什,41.222,79.562,1313
ZR502,金沙,27.491,106.218,1056
ZR503,织金,26.569,105.714,1801
ZR701,凯里,26.606,108.076,1072
ZR702,锦屏,26.666,109.042,853
ZR703,镇远,27.221,108.285,969
ZR802,三都,25.791,107.873,894
ZR902,安龙,25.124,105.441,1520
Z9740,莲花山,28.131,112.791,359
Z9780,贺州,24.231,111.534,1184
Z9635,聊城,36.503,115.755,121
Z9429,葫芦岛,40.795,119.957,1190
ZWAK,阿克苏机场,41.254,80.271,1187
ZSY01,沈北新区X,41.900,123.600,181
ZSY02,新民X,41.802,123.035,53
ZSY03,苏家屯X,41.543,123.638,234
ZL703,普兰店,39.331,122.052,131
ZL704,瓦房店,39.439,121.478,52
ZH008,嘉荫,45.766,130.521,132
ZH007,逊克,49.188,128.386,342
